input_prompt,output_question
"Generate a Easy behavioural interview question for a Devops Engineer about their past experience with Ansible. Focus on leadership, conflict, or problem-solving. End with a question mark.",Tell me about a project where you used Ansible.
Generate a Easy technical interview question for a Backend Developer about Redis. The question should be scenario-based and require deep technical knowledge. End with a question mark.,"If a junior developer asked you to explain Redis, what real-world analogy would you use?"
Generate a Medium technical interview question for a Full Stack Developer about Node.js. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Your team is migrating an existing system to use Node.js. What is your migration plan?
"Generate a Medium behavioural interview question for a Frontend Developer about their past experience with Redux. Focus on leadership, conflict, or problem-solving. End with a question mark.",Tell me about a time you had to convince your team to adopt Redux. How did you make the case?
Generate a Easy technical interview question for a Data Analyst about Tableau. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A basic Tableau function is returning None unexpectedly. How do you debug it?
"Generate a Medium system design interview question for a Ml Engineer focusing on MLflow architecture, scalability, and system trade-offs. End with a question mark.",Design the database schema for a e-commerce platform that uses MLflow as its data layer.
Generate a Easy technical interview question for a Backend Developer about Docker. The question should be scenario-based and require deep technical knowledge. End with a question mark.,What are the main features of Docker?
Generate a Easy technical interview question for a Data Analyst about SQL. The question should be scenario-based and require deep technical knowledge. End with a question mark.,What are the main features of SQL?
"Generate a Easy behavioural interview question for a Frontend Developer about their past experience with JavaScript. Focus on leadership, conflict, or problem-solving. End with a question mark.",Tell me about a project where you used JavaScript.
Generate a Medium technical interview question for a Devops Engineer about Terraform. The question should be scenario-based and require deep technical knowledge. End with a question mark.,What are common pitfalls when using Terraform and how do you avoid them?
"Generate a Hard system design interview question for a Full Stack Developer focusing on GraphQL architecture, scalability, and system trade-offs. End with a question mark.",Design a highly scalable analytics dashboard using GraphQL that handles 1 million events per second.
Generate a Medium technical interview question for a Backend Developer about Kafka. The question should be scenario-based and require deep technical knowledge. End with a question mark.,What are the trade-offs of using Kafka over alternatives?
Generate a Medium technical interview question for a Frontend Developer about CSS. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A CSS application in production is consuming 90% CPU. How do you investigate and resolve this?
"Generate a Easy behavioural interview question for a Data Analyst about their past experience with SQL. Focus on leadership, conflict, or problem-solving. End with a question mark.",Tell me about a project where you used SQL.
Generate a Medium technical interview question for a Devops Engineer about Jenkins. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Explain how Jenkins works under the hood.
"Generate a Medium system design interview question for a Backend Developer focusing on Node.js architecture, scalability, and system trade-offs. End with a question mark.",Design a notification service that uses Node.js for full-text search. What components would you include?
"Generate a Easy behavioural interview question for a Data Analyst about their past experience with Power BI. Focus on leadership, conflict, or problem-solving. End with a question mark.",Describe your experience learning Power BI for the first time.
"Generate a Hard system design interview question for a Ml Engineer focusing on BERT architecture, scalability, and system trade-offs. End with a question mark.",Design a multi-region deployment of BERT for a global application with sub-100ms latency requirements.
Generate a Hard technical interview question for a Data Analyst about Tableau. The question should be scenario-based and require deep technical knowledge. End with a question mark.,What are the internal memory management strategies used by Tableau?
"Generate a Easy behavioural interview question for a Backend Developer about their past experience with Node.js. Focus on leadership, conflict, or problem-solving. End with a question mark.",Tell me about a project where you used Node.js.
Generate a Hard technical interview question for a Data Analyst about SQL. The question should be scenario-based and require deep technical knowledge. End with a question mark.,You are the lead engineer on a analytics dashboard serving 5 million users. How would you architect SQL into the stack?
Generate a Hard technical interview question for a Devops Engineer about Jenkins. The question should be scenario-based and require deep technical knowledge. End with a question mark.,What are the internal memory management strategies used by Jenkins?
Generate a Medium technical interview question for a Ml Engineer about MLflow. The question should be scenario-based and require deep technical knowledge. End with a question mark.,What are the trade-offs of using MLflow over alternatives?
"Generate a Hard system design interview question for a Frontend Developer focusing on JavaScript architecture, scalability, and system trade-offs. End with a question mark.",Design a multi-region deployment of JavaScript for a global application with sub-100ms latency requirements.
"Generate a Easy system design interview question for a Backend Developer focusing on FastAPI architecture, scalability, and system trade-offs. End with a question mark.",Design a simple todo app using FastAPI as the core technology.
"Generate a Hard behavioural interview question for a Devops Engineer about their past experience with Linux. Focus on leadership, conflict, or problem-solving. End with a question mark.","Tell me about a time Linux caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?"
Generate a Easy technical interview question for a Frontend Developer about HTML5. The question should be scenario-based and require deep technical knowledge. End with a question mark.,How would you use HTML5 to build a simple analytics dashboard?
Generate a Hard technical interview question for a Data Analyst about NumPy. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A race condition is occurring in your NumPy setup under load. Describe your complete debugging and resolution strategy.
Generate a Easy technical interview question for a Backend Developer about Redis. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Define Redis and its primary use case.
Generate a Hard technical interview question for a Data Analyst about Tableau. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A race condition is occurring in your Tableau setup under load. Describe your complete debugging and resolution strategy.
Generate a Hard technical interview question for a Data Analyst about Power BI. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A critical deadline is approaching and Power BI is causing unexpected cascading timeouts. How do you manage the situation?
"Generate a Hard system design interview question for a Devops Engineer focusing on AWS architecture, scalability, and system trade-offs. End with a question mark.",Design a highly scalable real-time chat app using AWS that handles 1 million events per second.
Generate a Hard technical interview question for a Frontend Developer about Vue.js. The question should be scenario-based and require deep technical knowledge. End with a question mark.,What are the internal memory management strategies used by Vue.js?
Generate a Medium technical interview question for a Backend Developer about RabbitMQ. The question should be scenario-based and require deep technical knowledge. End with a question mark.,How does RabbitMQ handle rate limiting in a production environment?
"Generate a Easy system design interview question for a Ml Engineer focusing on MLflow architecture, scalability, and system trade-offs. End with a question mark.",Design a simple todo app using MLflow as the core technology.
Generate a Easy technical interview question for a Ml Engineer about Feature Engineering. The question should be scenario-based and require deep technical knowledge. End with a question mark.,"If a junior developer asked you to explain Feature Engineering, what real-world analogy would you use?"
Generate a Hard technical interview question for a Backend Developer about Kafka. The question should be scenario-based and require deep technical knowledge. End with a question mark.,"Compare Kafka with its closest alternative in terms of performance, scalability, and developer experience."
Generate a Easy technical interview question for a Full Stack Developer about Node.js. The question should be scenario-based and require deep technical knowledge. End with a question mark.,How would you use Node.js to build a simple URL shortener?
Generate a Easy technical interview question for a Backend Developer about REST API. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Define REST API and its primary use case.
"Generate a Easy behavioural interview question for a Backend Developer about their past experience with Kafka. Focus on leadership, conflict, or problem-solving. End with a question mark.",Tell me about a project where you used Kafka.
"Generate a Easy behavioural interview question for a Full Stack Developer about their past experience with GraphQL. Focus on leadership, conflict, or problem-solving. End with a question mark.",Describe your experience learning GraphQL for the first time.
"Generate a Easy behavioural interview question for a Frontend Developer about their past experience with Next.js. Focus on leadership, conflict, or problem-solving. End with a question mark.",Describe your experience learning Next.js for the first time.
Generate a Hard technical interview question for a Full Stack Developer about TypeScript. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Your URL shortener is experiencing cascading timeouts at 10x normal traffic. How do you use TypeScript to diagnose and resolve it?
"Generate a Medium system design interview question for a Frontend Developer focusing on JavaScript architecture, scalability, and system trade-offs. End with a question mark.","How would you design a RESTful API using JavaScript that supports 10,000 concurrent users?"
Generate a Medium technical interview question for a Frontend Developer about TypeScript. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A memory leak is suspected in your TypeScript application. How do you confirm and eliminate it?
"Generate a Hard behavioural interview question for a Devops Engineer about their past experience with CI/CD. Focus on leadership, conflict, or problem-solving. End with a question mark.",Describe a situation where you had to make a critical architectural decision involving CI/CD under tight time pressure.
"Generate a Easy system design interview question for a Backend Developer focusing on Redis architecture, scalability, and system trade-offs. End with a question mark.",Design a simple todo app using Redis as the core technology.
Generate a Medium technical interview question for a Frontend Developer about Webpack. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A memory leak is suspected in your Webpack application. How do you confirm and eliminate it?
Generate a Easy technical interview question for a Backend Developer about Node.js. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Define Node.js and its primary use case.
Generate a Medium technical interview question for a Full Stack Developer about Node.js. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Explain how Node.js works under the hood.
Generate a Hard technical interview question for a Full Stack Developer about Node.js. The question should be scenario-based and require deep technical knowledge. End with a question mark.,You are the lead engineer on a URL shortener serving 5 million users. How would you architect Node.js into the stack?
Generate a Hard technical interview question for a Ml Engineer about Feature Engineering. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Your Feature Engineering deployment is experiencing cascading failures across microservices. How do you isolate the root cause?
"Generate a Easy behavioural interview question for a Ml Engineer about their past experience with TensorFlow. Focus on leadership, conflict, or problem-solving. End with a question mark.",Tell me about a project where you used TensorFlow.
Generate a Hard technical interview question for a Frontend Developer about Vue.js. The question should be scenario-based and require deep technical knowledge. End with a question mark.,"Compare Vue.js with its closest alternative in terms of performance, scalability, and developer experience."
Generate a Medium technical interview question for a Backend Developer about Redis. The question should be scenario-based and require deep technical knowledge. End with a question mark.,How would you use Redis to handle rate limiting in a real-world application?
"Generate a Medium system design interview question for a Frontend Developer focusing on Vue.js architecture, scalability, and system trade-offs. End with a question mark.","How would you design a RESTful API using Vue.js that supports 10,000 concurrent users?"
Generate a Hard technical interview question for a Frontend Developer about CSS. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Your job scheduling system is experiencing high latency spikes at 10x normal traffic. How do you use CSS to diagnose and resolve it?
Generate a Medium technical interview question for a Backend Developer about Python. The question should be scenario-based and require deep technical knowledge. End with a question mark.,What are common pitfalls when using Python and how do you avoid them?
Generate a Medium technical interview question for a Backend Developer about Redis. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Users are reporting intermittent failures in a Redis service. How do you reproduce and fix the issue?
"Generate a Hard system design interview question for a Backend Developer focusing on Docker architecture, scalability, and system trade-offs. End with a question mark.",Architect a fault-tolerant URL shortener using Docker. How do you handle failures without data loss?
"Generate a Hard system design interview question for a Frontend Developer focusing on TypeScript architecture, scalability, and system trade-offs. End with a question mark.",Architect a fault-tolerant analytics dashboard using TypeScript. How do you handle failures without data loss?
Generate a Medium technical interview question for a Backend Developer about MongoDB. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A MongoDB application in production is consuming 90% CPU. How do you investigate and resolve this?
"Generate a Hard behavioural interview question for a Devops Engineer about their past experience with Jenkins. Focus on leadership, conflict, or problem-solving. End with a question mark.",Describe a situation where you had to make a critical architectural decision involving Jenkins under tight time pressure.
Generate a Medium technical interview question for a Backend Developer about Django. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A Django application in production is consuming 90% CPU. How do you investigate and resolve this?
"Generate a Medium system design interview question for a Frontend Developer focusing on Vue.js architecture, scalability, and system trade-offs. End with a question mark.",Design a job scheduling system that uses Vue.js for session management. What components would you include?
Generate a Hard technical interview question for a Frontend Developer about Next.js. The question should be scenario-based and require deep technical knowledge. End with a question mark.,"Compare Next.js with its closest alternative in terms of performance, scalability, and developer experience."
Generate a Hard technical interview question for a Data Analyst about Power BI. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Your job scheduling system is experiencing connection pool exhaustion at 10x normal traffic. How do you use Power BI to diagnose and resolve it?
Generate a Easy technical interview question for a Devops Engineer about Linux. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Explain the basic concept of Linux in simple terms.
Generate a Medium technical interview question for a Backend Developer about Python. The question should be scenario-based and require deep technical knowledge. End with a question mark.,How would you use Python to handle authentication at scale in a real-world application?
"Generate a Hard system design interview question for a Devops Engineer focusing on Kubernetes architecture, scalability, and system trade-offs. End with a question mark.",Design a multi-region deployment of Kubernetes for a global application with sub-100ms latency requirements.
Generate a Hard technical interview question for a Full Stack Developer about MongoDB. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A critical deadline is approaching and MongoDB is causing unexpected memory leak. How do you manage the situation?
Generate a Medium technical interview question for a Data Analyst about Pandas. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Your team is migrating an existing system to use Pandas. What is your migration plan?
"Generate a Hard behavioural interview question for a Backend Developer about their past experience with RabbitMQ. Focus on leadership, conflict, or problem-solving. End with a question mark.","Tell me about a time RabbitMQ caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?"
Generate a Easy technical interview question for a Data Analyst about Python. The question should be scenario-based and require deep technical knowledge. End with a question mark.,How would you use Python to build a simple notification service?
"Generate a Easy system design interview question for a Data Analyst focusing on Power BI architecture, scalability, and system trade-offs. End with a question mark.",Design a simple todo app using Power BI as the core technology.
"Generate a Hard system design interview question for a Full Stack Developer focusing on TypeScript architecture, scalability, and system trade-offs. End with a question mark.",Architect a fault-tolerant e-commerce platform using TypeScript. How do you handle failures without data loss?
Generate a Hard technical interview question for a Ml Engineer about BERT. The question should be scenario-based and require deep technical knowledge. End with a question mark.,"How does BERT ensure fault tolerance at scale, and what are its architectural limitations?"
Generate a Medium technical interview question for a Data Analyst about NumPy. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A NumPy application in production is consuming 90% CPU. How do you investigate and resolve this?
"Generate a Medium system design interview question for a Frontend Developer focusing on Next.js architecture, scalability, and system trade-offs. End with a question mark.","How would you design a RESTful API using Next.js that supports 10,000 concurrent users?"
Generate a Medium technical interview question for a Devops Engineer about Terraform. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Users are reporting intermittent failures in a Terraform service. How do you reproduce and fix the issue?
Generate a Easy technical interview question for a Ml Engineer about MLflow. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Your MLflow application is throwing an unhandled error on startup. What are your first steps?
Generate a Hard technical interview question for a Devops Engineer about CI/CD. The question should be scenario-based and require deep technical knowledge. End with a question mark.,You are the lead engineer on a real-time chat app serving 5 million users. How would you architect CI/CD into the stack?
Generate a Medium technical interview question for a Full Stack Developer about GraphQL. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A memory leak is suspected in your GraphQL application. How do you confirm and eliminate it?
Generate a Medium technical interview question for a Ml Engineer about TensorFlow. The question should be scenario-based and require deep technical knowledge. End with a question mark.,You are building a real-time chat app and need to integrate TensorFlow. Walk me through your approach.
Generate a Medium technical interview question for a Frontend Developer about Next.js. The question should be scenario-based and require deep technical knowledge. End with a question mark.,How does Next.js handle caching invalidation in a production environment?
Generate a Hard technical interview question for a Devops Engineer about Jenkins. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A race condition is occurring in your Jenkins setup under load. Describe your complete debugging and resolution strategy.
Generate a Hard technical interview question for a Backend Developer about RabbitMQ. The question should be scenario-based and require deep technical knowledge. End with a question mark.,"How does RabbitMQ ensure fault tolerance at scale, and what are its architectural limitations?"
Generate a Hard technical interview question for a Frontend Developer about Redux. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A critical deadline is approaching and Redux is causing unexpected cascading timeouts. How do you manage the situation?
Generate a Easy technical interview question for a Devops Engineer about Linux. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A basic Linux function is returning None unexpectedly. How do you debug it?
Generate a Hard technical interview question for a Backend Developer about MongoDB. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A critical deadline is approaching and MongoDB is causing unexpected data corruption. How do you manage the situation?
"Generate a Medium system design interview question for a Frontend Developer focusing on CSS architecture, scalability, and system trade-offs. End with a question mark.",Design the database schema for a real-time chat app that uses CSS as its data layer.
Generate a Medium technical interview question for a Backend Developer about FastAPI. The question should be scenario-based and require deep technical knowledge. End with a question mark.,You are building a analytics dashboard and need to integrate FastAPI. Walk me through your approach.
Generate a Medium technical interview question for a Full Stack Developer about Node.js. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A Node.js application in production is consuming 90% CPU. How do you investigate and resolve this?
Generate a Medium technical interview question for a Ml Engineer about TensorFlow. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A TensorFlow application in production is consuming 90% CPU. How do you investigate and resolve this?
Generate a Medium technical interview question for a Data Analyst about Statistics. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A memory leak is suspected in your Statistics application. How do you confirm and eliminate it?
Generate a Easy technical interview question for a Data Analyst about Pandas. The question should be scenario-based and require deep technical knowledge. End with a question mark.,How would you use Pandas to build a simple analytics dashboard?
Generate a Easy technical interview question for a Frontend Developer about TypeScript. The question should be scenario-based and require deep technical knowledge. End with a question mark.,"If a junior developer asked you to explain TypeScript, what real-world analogy would you use?"
