role,skill,difficulty,session_type,output_question,source
DevOps Engineer,Kubernetes,Easy,technical,Your Kubernetes application is throwing an unhandled error on startup. What are your first steps?,template
Backend Developer,Docker,Hard,technical,Your URL shortener is experiencing connection pool exhaustion at 10x normal traffic. How do you use Docker to diagnose and resolve it?,template
Data Analyst,NumPy,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving NumPy under tight time pressure.,template
Backend Developer,Node.js,Easy,technical,How would you use Node.js to build a simple job scheduling system?,template
ML Engineer,scikit-learn,Hard,system_design,Design a highly scalable URL shortener using scikit-learn that handles 1 million events per second.,template
DevOps Engineer,CI/CD,Medium,technical,Users are reporting intermittent failures in a CI/CD service. How do you reproduce and fix the issue?,template
Backend Developer,Redis,Easy,system_design,Design a simple todo app using Redis as the core technology.,template
Backend Developer,RabbitMQ,Medium,behavioural,Describe a challenging bug you solved using RabbitMQ. What was your thought process?,template
Data Analyst,NumPy,Medium,technical,What are the trade-offs of using NumPy over alternatives?,template
Backend Developer,Django,Hard,technical,A critical deadline is approaching and Django is causing unexpected data corruption. How do you manage the situation?,template
ML Engineer,BERT,Easy,technical,Your BERT application is throwing an unhandled error on startup. What are your first steps?,template
ML Engineer,scikit-learn,Medium,system_design,Design the database schema for a notification service that uses scikit-learn as its data layer.,template
ML Engineer,TensorFlow,Medium,system_design,"How would you design a RESTful API using TensorFlow that supports 10,000 concurrent users?",template
ML Engineer,MLflow,Hard,system_design,Design a highly scalable e-commerce platform using MLflow that handles 1 million events per second.,template
Frontend Developer,Vue.js,Hard,technical,"Compare Vue.js with its closest alternative in terms of performance, scalability, and developer experience.",template
Data Analyst,Python,Hard,technical,A critical deadline is approaching and Python is causing unexpected memory leak. How do you manage the situation?,template
ML Engineer,MLflow,Easy,system_design,Design a simple todo app using MLflow as the core technology.,template
DevOps Engineer,AWS,Easy,behavioural,Describe your experience learning AWS for the first time.,template
Backend Developer,RabbitMQ,Easy,technical,You are starting a new Backend Developer project. Why would you choose RabbitMQ?,template
Data Analyst,Power BI,Medium,system_design,Design a notification service that uses Power BI for full-text search. What components would you include?,template
DevOps Engineer,Terraform,Easy,system_design,How would you structure a basic project using Terraform?,template
Data Analyst,Pandas,Medium,system_design,"How would you design a RESTful API using Pandas that supports 10,000 concurrent users?",template
Frontend Developer,TypeScript,Easy,system_design,Design a simple todo app using TypeScript as the core technology.,template
Backend Developer,FastAPI,Easy,technical,A basic FastAPI function is returning None unexpectedly. How do you debug it?,template
ML Engineer,BERT,Easy,system_design,Design a simple todo app using BERT as the core technology.,template
Data Analyst,Excel,Medium,technical,What are common pitfalls when using Excel and how do you avoid them?,template
Frontend Developer,Webpack,Hard,technical,A critical deadline is approaching and Webpack is causing unexpected data corruption. How do you manage the situation?,template
DevOps Engineer,Ansible,Easy,system_design,How would you structure a basic project using Ansible?,template
DevOps Engineer,Linux,Hard,technical,Your URL shortener is experiencing memory leak at 10x normal traffic. How do you use Linux to diagnose and resolve it?,template
Frontend Developer,JavaScript,Hard,behavioural,"Tell me about a time JavaScript caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
Backend Developer,MongoDB,Easy,behavioural,Describe your experience learning MongoDB for the first time.,template
Full Stack Developer,MongoDB,Hard,system_design,Design a multi-region deployment of MongoDB for a global application with sub-100ms latency requirements.,template
Frontend Developer,React,Hard,technical,You are the lead engineer on a URL shortener serving 5 million users. How would you architect React into the stack?,template
Frontend Developer,CSS,Medium,technical,A CSS application in production is consuming 90% CPU. How do you investigate and resolve this?,template
Frontend Developer,Vue.js,Easy,system_design,Design a simple todo app using Vue.js as the core technology.,template
DevOps Engineer,Jenkins,Medium,technical,Your team is migrating an existing system to use Jenkins. What is your migration plan?,template
Full Stack Developer,React,Easy,technical,"If a junior developer asked you to explain React, what real-world analogy would you use?",template
DevOps Engineer,Jenkins,Easy,technical,What are the main features of Jenkins?,template
Data Analyst,Power BI,Hard,technical,"Compare Power BI with its closest alternative in terms of performance, scalability, and developer experience.",template
Backend Developer,MongoDB,Easy,behavioural,Tell me about a project where you used MongoDB.,template
Backend Developer,REST API,Easy,technical,What are the main features of REST API?,template
Data Analyst,Statistics,Hard,technical,What are the internal memory management strategies used by Statistics?,template
Full Stack Developer,Next.js,Easy,technical,How would you use Next.js to build a simple real-time chat app?,template
DevOps Engineer,Kubernetes,Medium,behavioural,Describe a challenging bug you solved using Kubernetes. What was your thought process?,template
Backend Developer,Kafka,Easy,behavioural,Describe your experience learning Kafka for the first time.,template
Backend Developer,FastAPI,Medium,technical,How does FastAPI handle high concurrency in a production environment?,template
Data Analyst,Pandas,Easy,technical,You are starting a new Data Analyst project. Why would you choose Pandas?,template
ML Engineer,Feature Engineering,Hard,behavioural,"Tell me about a time Feature Engineering caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
ML Engineer,BERT,Hard,system_design,Architect a fault-tolerant analytics dashboard using BERT. How do you handle failures without data loss?,template
Frontend Developer,TypeScript,Hard,technical,What are the internal memory management strategies used by TypeScript?,template
DevOps Engineer,Jenkins,Medium,behavioural,Describe a challenging bug you solved using Jenkins. What was your thought process?,template
DevOps Engineer,AWS,Hard,system_design,Design a highly scalable real-time chat app using AWS that handles 1 million events per second.,template
DevOps Engineer,AWS,Hard,technical,"How does AWS ensure eventual consistency at scale, and what are its architectural limitations?",template
DevOps Engineer,Linux,Hard,technical,A critical deadline is approaching and Linux is causing unexpected data corruption. How do you manage the situation?,template
ML Engineer,Feature Engineering,Hard,technical,Your real-time chat app is experiencing connection pool exhaustion at 10x normal traffic. How do you use Feature Engineering to diagnose and resolve it?,template
ML Engineer,TensorFlow,Easy,behavioural,Describe your experience learning TensorFlow for the first time.,template
Data Analyst,Pandas,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving Pandas under tight time pressure.,template
Data Analyst,Tableau,Medium,technical,Explain how Tableau works under the hood.,template
Backend Developer,REST API,Easy,behavioural,Tell me about a project where you used REST API.,template
Backend Developer,Python,Easy,technical,Define Python and its primary use case.,template
Data Analyst,NumPy,Hard,technical,"How does NumPy ensure eventual consistency at scale, and what are its architectural limitations?",template
Data Analyst,Statistics,Easy,technical,"If a junior developer asked you to explain Statistics, what real-world analogy would you use?",template
DevOps Engineer,CI/CD,Medium,behavioural,Describe a challenging bug you solved using CI/CD. What was your thought process?,template
Backend Developer,FastAPI,Medium,technical,A FastAPI application in production is consuming 90% CPU. How do you investigate and resolve this?,template
ML Engineer,Model Deployment,Medium,technical,How would you use Model Deployment to handle rate limiting in a real-world application?,template
Backend Developer,FastAPI,Easy,technical,"If a junior developer asked you to explain FastAPI, what real-world analogy would you use?",template
DevOps Engineer,Ansible,Medium,technical,What are common pitfalls when using Ansible and how do you avoid them?,template
ML Engineer,Model Deployment,Medium,behavioural,Tell me about a time you had to convince your team to adopt Model Deployment. How did you make the case?,template
Frontend Developer,HTML5,Medium,technical,You are building a e-commerce platform and need to integrate HTML5. Walk me through your approach.,template
Data Analyst,Statistics,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving Statistics under tight time pressure.,template
ML Engineer,MLflow,Medium,behavioural,Describe a challenging bug you solved using MLflow. What was your thought process?,template
Data Analyst,Power BI,Hard,system_design,Architect a fault-tolerant notification service using Power BI. How do you handle failures without data loss?,template
DevOps Engineer,Ansible,Hard,technical,You are the lead engineer on a notification service serving 5 million users. How would you architect Ansible into the stack?,template
Frontend Developer,HTML5,Medium,technical,Users are reporting intermittent failures in a HTML5 service. How do you reproduce and fix the issue?,template
DevOps Engineer,AWS,Medium,system_design,Design a notification service that uses AWS for caching. What components would you include?,template
ML Engineer,Model Deployment,Easy,technical,"If a junior developer asked you to explain Model Deployment, what real-world analogy would you use?",template
Full Stack Developer,MongoDB,Easy,technical,"If a junior developer asked you to explain MongoDB, what real-world analogy would you use?",template
Backend Developer,MongoDB,Medium,system_design,"How would you design a RESTful API using MongoDB that supports 10,000 concurrent users?",template
Data Analyst,Tableau,Easy,system_design,How would you structure a basic project using Tableau?,template
Data Analyst,Pandas,Easy,technical,A basic Pandas function is returning None unexpectedly. How do you debug it?,template
ML Engineer,PyTorch,Hard,behavioural,"Tell me about a time PyTorch caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
Backend Developer,MongoDB,Medium,behavioural,Tell me about a time you had to convince your team to adopt MongoDB. How did you make the case?,template
Frontend Developer,JavaScript,Hard,technical,"A deadlock is occurring in your JavaScript database layer during peak traffic. How do you detect, resolve, and prevent this?",template
Full Stack Developer,GraphQL,Hard,behavioural,"Tell me about a time GraphQL caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
DevOps Engineer,Terraform,Easy,technical,What are the main features of Terraform?,template
Backend Developer,RabbitMQ,Medium,behavioural,Tell me about a time you had to convince your team to adopt RabbitMQ. How did you make the case?,template
ML Engineer,BERT,Medium,technical,Your team is migrating an existing system to use BERT. What is your migration plan?,template
Backend Developer,REST API,Medium,technical,You are building a analytics dashboard and need to integrate REST API. Walk me through your approach.,template
Full Stack Developer,Node.js,Medium,technical,Your team is migrating an existing system to use Node.js. What is your migration plan?,template
Backend Developer,RabbitMQ,Medium,technical,Your team is migrating an existing system to use RabbitMQ. What is your migration plan?,template
Frontend Developer,TypeScript,Hard,technical,A race condition is occurring in your TypeScript setup under load. Describe your complete debugging and resolution strategy.,template
Frontend Developer,Next.js,Easy,technical,How would you use Next.js to build a simple URL shortener?,template
ML Engineer,Feature Engineering,Hard,technical,"How does Feature Engineering ensure low read latency at scale, and what are its architectural limitations?",template
Data Analyst,Excel,Hard,technical,"How does Excel ensure fault tolerance at scale, and what are its architectural limitations?",template
Backend Developer,Docker,Easy,behavioural,Tell me about a project where you used Docker.,template
Backend Developer,Docker,Easy,technical,What are the main features of Docker?,template
ML Engineer,MLflow,Medium,technical,Users are reporting intermittent failures in a MLflow service. How do you reproduce and fix the issue?,template
Full Stack Developer,Node.js,Hard,technical,A race condition is occurring in your Node.js setup under load. Describe your complete debugging and resolution strategy.,template
Backend Developer,Node.js,Medium,technical,A memory leak is suspected in your Node.js application. How do you confirm and eliminate it?,template
DevOps Engineer,Docker,Hard,technical,A critical deadline is approaching and Docker is causing unexpected memory leak. How do you manage the situation?,template
Backend Developer,Kafka,Hard,technical,"Compare Kafka with its closest alternative in terms of performance, scalability, and developer experience.",template
Frontend Developer,Next.js,Easy,behavioural,Tell me about a project where you used Next.js.,template
DevOps Engineer,Docker,Hard,system_design,Architect a fault-tolerant job scheduling system using Docker. How do you handle failures without data loss?,template
Backend Developer,MongoDB,Easy,technical,You are starting a new Backend Developer project. Why would you choose MongoDB?,template
Backend Developer,Kafka,Easy,behavioural,Tell me about a project where you used Kafka.,template
Full Stack Developer,Node.js,Medium,technical,Explain how Node.js works under the hood.,template
Frontend Developer,Vue.js,Medium,system_design,"How would you design a RESTful API using Vue.js that supports 10,000 concurrent users?",template
Data Analyst,Pandas,Medium,technical,Your team is migrating an existing system to use Pandas. What is your migration plan?,template
Backend Developer,REST API,Hard,behavioural,"Tell me about a time REST API caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
Frontend Developer,Redux,Hard,system_design,Architect a fault-tolerant analytics dashboard using Redux. How do you handle failures without data loss?,template
ML Engineer,scikit-learn,Medium,technical,A memory leak is suspected in your scikit-learn application. How do you confirm and eliminate it?,template
ML Engineer,TensorFlow,Hard,behavioural,"Tell me about a time TensorFlow caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
Frontend Developer,Webpack,Hard,technical,A race condition is occurring in your Webpack setup under load. Describe your complete debugging and resolution strategy.,template
DevOps Engineer,AWS,Medium,behavioural,Tell me about a time you had to convince your team to adopt AWS. How did you make the case?,template
Data Analyst,Power BI,Easy,system_design,Design a simple todo app using Power BI as the core technology.,template
Data Analyst,Excel,Medium,system_design,Design the database schema for a URL shortener that uses Excel as its data layer.,template
DevOps Engineer,Linux,Hard,technical,A race condition is occurring in your Linux setup under load. Describe your complete debugging and resolution strategy.,template
Frontend Developer,React,Hard,behavioural,"Tell me about a time React caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
Frontend Developer,Webpack,Medium,technical,How does Webpack handle authentication at scale in a production environment?,template
Backend Developer,Node.js,Hard,technical,You are the lead engineer on a e-commerce platform serving 5 million users. How would you architect Node.js into the stack?,template
Frontend Developer,Webpack,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving Webpack under tight time pressure.,template
Backend Developer,Python,Medium,behavioural,Describe a challenging bug you solved using Python. What was your thought process?,template
DevOps Engineer,Jenkins,Easy,technical,A basic Jenkins function is returning None unexpectedly. How do you debug it?,template
Frontend Developer,JavaScript,Easy,technical,What are the main features of JavaScript?,template
Backend Developer,Redis,Hard,technical,Your real-time chat app is experiencing high latency spikes at 10x normal traffic. How do you use Redis to diagnose and resolve it?,template
Frontend Developer,Webpack,Easy,technical,What are the main features of Webpack?,template
Data Analyst,Excel,Medium,technical,You are building a real-time chat app and need to integrate Excel. Walk me through your approach.,template
ML Engineer,Feature Engineering,Hard,system_design,Design a highly scalable e-commerce platform using Feature Engineering that handles 1 million events per second.,template
Backend Developer,Redis,Medium,technical,Explain how Redis works under the hood.,template
Data Analyst,NumPy,Hard,behavioural,"Tell me about a time NumPy caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
Frontend Developer,Webpack,Medium,technical,What are common pitfalls when using Webpack and how do you avoid them?,template
Full Stack Developer,Node.js,Hard,technical,You are the lead engineer on a URL shortener serving 5 million users. How would you architect Node.js into the stack?,template
Full Stack Developer,GraphQL,Hard,technical,Your GraphQL deployment is experiencing cascading failures across microservices. How do you isolate the root cause?,template
DevOps Engineer,CI/CD,Medium,technical,How would you use CI/CD to handle caching invalidation in a real-world application?,template
Frontend Developer,TypeScript,Medium,technical,Explain how TypeScript works under the hood.,template
DevOps Engineer,Terraform,Easy,technical,Your Terraform application is throwing an unhandled error on startup. What are your first steps?,template
Backend Developer,REST API,Medium,system_design,Design a job scheduling system that uses REST API for audit logging. What components would you include?,template
DevOps Engineer,CI/CD,Medium,system_design,Design the database schema for a URL shortener that uses CI/CD as its data layer.,template
ML Engineer,PyTorch,Easy,technical,A basic PyTorch function is returning None unexpectedly. How do you debug it?,template
Backend Developer,REST API,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving REST API under tight time pressure.,template
Data Analyst,NumPy,Easy,technical,Define NumPy and its primary use case.,template
DevOps Engineer,Docker,Easy,technical,What is Docker and why is it important for a DevOps Engineer?,template
Backend Developer,Node.js,Medium,technical,You are building a job scheduling system and need to integrate Node.js. Walk me through your approach.,template
Frontend Developer,Vue.js,Medium,behavioural,Tell me about a time you had to convince your team to adopt Vue.js. How did you make the case?,template
Full Stack Developer,GraphQL,Medium,behavioural,Tell me about a time you had to convince your team to adopt GraphQL. How did you make the case?,template
DevOps Engineer,Docker,Easy,technical,How would you use Docker to build a simple analytics dashboard?,template
Data Analyst,Power BI,Easy,technical,You are starting a new Data Analyst project. Why would you choose Power BI?,template
Frontend Developer,HTML5,Medium,behavioural,Tell me about a time you had to convince your team to adopt HTML5. How did you make the case?,template
Frontend Developer,JavaScript,Medium,behavioural,Describe a challenging bug you solved using JavaScript. What was your thought process?,template
ML Engineer,Feature Engineering,Hard,technical,"A deadlock is occurring in your Feature Engineering database layer during peak traffic. How do you detect, resolve, and prevent this?",template
Frontend Developer,CSS,Hard,technical,Your job scheduling system is experiencing high latency spikes at 10x normal traffic. How do you use CSS to diagnose and resolve it?,template
Frontend Developer,Redux,Easy,system_design,How would you structure a basic project using Redux?,template
DevOps Engineer,Kubernetes,Hard,technical,"A deadlock is occurring in your Kubernetes database layer during peak traffic. How do you detect, resolve, and prevent this?",template
Backend Developer,Kafka,Easy,technical,"If a junior developer asked you to explain Kafka, what real-world analogy would you use?",template
Backend Developer,Python,Easy,system_design,How would you structure a basic project using Python?,template
Full Stack Developer,GraphQL,Hard,system_design,Design a multi-region deployment of GraphQL for a global application with sub-100ms latency requirements.,template
Backend Developer,FastAPI,Hard,technical,"A deadlock is occurring in your FastAPI database layer during peak traffic. How do you detect, resolve, and prevent this?",template
Data Analyst,Python,Medium,technical,How does Python handle high concurrency in a production environment?,template
DevOps Engineer,Kubernetes,Easy,system_design,Design a simple todo app using Kubernetes as the core technology.,template
Backend Developer,Kafka,Easy,technical,How would you use Kafka to build a simple e-commerce platform?,template
Backend Developer,FastAPI,Medium,technical,You are building a analytics dashboard and need to integrate FastAPI. Walk me through your approach.,template
DevOps Engineer,Jenkins,Medium,technical,A memory leak is suspected in your Jenkins application. How do you confirm and eliminate it?,template
Backend Developer,Docker,Hard,system_design,Architect a fault-tolerant URL shortener using Docker. How do you handle failures without data loss?,template
DevOps Engineer,Linux,Easy,behavioural,Describe your experience learning Linux for the first time.,template
DevOps Engineer,AWS,Medium,behavioural,Describe a challenging bug you solved using AWS. What was your thought process?,template
DevOps Engineer,Jenkins,Easy,technical,Your Jenkins application is throwing an unhandled error on startup. What are your first steps?,template
